eraFlags, epochCount, epoch01, epoch02, epoch03, epoch04, epoch05, epoch06, epoch07, epoch08, epoch09, epoch10, epoch11, epoch12, epoch13, epoch14, epoch15,Sleep,Comments
2:42:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 7:3, 8:1, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,98%,
2:45:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
2:47:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
2:50:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
2:52:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
2:55:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 7:1, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,98%,
2:57:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,98%,
3:00:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:02:30 am,15, 8:0, 8:0, 8:1, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:05:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:07:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:10:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:12:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:1, 8:0, 8:0, 8:0,99%,
3:15:00 am,15, 8:1, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:17:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:20:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
3:22:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:1, 7:2, 8:0, 8:0, 8:0, 8:0,99%,
3:25:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:27:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:30:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:32:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:1, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:35:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:37:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:40:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:42:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:45:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:1, 7:3, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:47:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:50:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:1, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:52:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
3:55:00 am,15, 8:0, 7:1, 7:2, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,98%,
3:57:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,98%,
4:00:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,98%,
4:02:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,98%,
4:05:00 am,15, 8:0, 8:0, 8:0, 7:1, 7:1, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,97%,
4:07:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,97%,
4:10:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,97%,
4:12:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,97%,
4:15:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,97%,
4:17:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,97%,
4:20:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:1, 7:1, 8:1, 8:0, 8:0, 8:0, 8:0, 8:0,98%,
